television_cable,wifi,seche_cheveux,monoxyde_carbone_detect,salle_sport,fer_repasser,parking_sur-place,extincteur,Climatisation,Jacuzzi,machine_laver,Capacite_accueil,NbChambres,frais_menage,Caution,frais_menage,seche_linge,cheminee_interieur,pourEnfants_famille,Piscine,NbLits,television,PrixNuitee,Latitude,Longitude
0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,40.41916366088309,44.824281999,-0.5943408632
0,1,1,0,0,1,0,0,0,0,1,2,1,15,400,15,1,0,1,0,0,1,66.51272978802328,44.8370060345,-0.5691552246
0,1,1,0,0,1,0,0,0,0,0,2,1,20,500,20,0,0,0,0,1,1,65.51671264017939,44.8334587293,-0.5632178983
1,1,1,0,0,1,1,0,1,0,1,4,1,20,500,20,1,0,1,0,0,1,95.2724232409268,44.8553632252,-0.5702944688
1,1,1,0,0,1,1,1,1,0,0,6,1,10,0,10,0,0,1,0,0,1,93.67598766714096,44.8266060898,-0.5755788858
0,1,1,0,0,1,0,0,0,0,1,2,1,0,250,0,0,0,1,0,1,0,43.11010010016555,44.8247588698,-0.5614763775
0,1,1,0,0,1,0,0,0,0,1,4,2,35,500,35,0,0,0,0,3,1,95.5079360230867,44.8398392165,-0.5713884527
0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,31.87653054339282,44.8600898596,-0.5677330915
0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,49.69054271117156,44.8598755619,-0.6116709207
0,1,0,0,0,0,0,0,0,0,1,4,1,40,500,40,1,0,1,0,0,1,91.06638037422339,44.8469822256,-0.5728849229
0,1,1,1,0,1,0,0,0,0,1,4,1,30,200,30,0,0,1,0,0,0,66.30647129196713,44.8282589102,-0.5750436138
0,1,1,0,0,1,1,0,0,0,0,2,1,0,150,0,0,0,0,0,1,0,40.753007028546435,44.8155097964,-0.5543217651
0,1,1,0,0,1,1,0,0,0,1,2,1,30,300,30,0,0,1,0,0,1,53.375506027898254,44.8397598627,-0.6039936589
0,0,0,0,0,0,0,0,0,0,1,2,1,0,200,0,0,0,1,0,0,0,47.143684924982466,44.818044347,-0.5713709596
0,1,0,0,0,0,0,0,0,0,1,2,1,40,400,40,1,0,0,0,0,1,75.11429677412781,44.8458197379,-0.5779510895
0,1,1,0,0,0,0,0,0,0,1,4,1,0,150,0,0,0,1,0,1,0,58.32134362914718,44.8316539111,-0.5832356691
